Node	dA	dNL	dNC	dH	dLCP	dIIC	dIICintra	dIICflux	dIICconnector	dF	dAWF	dPC	dPCintra	dPCflux	dPCconnector	
53	0.0694927	0.7101569	0.0000000	0.4129029	0.1389371	0.1300862	0.0002773	0.1295514	-0.0023015	0.4839976	0.1713937	0.1573757	0.0006289	0.1463720	0.0119212	
54	0.0694927	0.7927333	0.0000000	0.4234980	0.1389371	0.1306581	0.0002773	0.1295110	-0.0016891	0.4998809	0.1781714	0.1559215	0.0006289	0.1545446	0.0022943	
55	0.2084781	0.6275805	0.0000000	0.4412623	0.4165216	0.4144163	0.0024955	0.4119902	-0.0026284	0.5032049	0.5132822	0.5727863	0.0056599	0.4617386	0.1069342	
56	0.0694927	0.6440958	0.0000000	0.4539018	0.1389371	0.1423643	0.0002773	0.1418904	-0.0023622	0.5007243	0.1722290	0.1979184	0.0006289	0.1564756	0.0423603	
57	0.2084781	0.2972750	0.0000000	0.4071358	0.4165216	0.3939671	0.0024955	0.3915011	-0.0025884	0.4137312	0.3295700	0.3269555	0.0056599	0.2998004	0.0230416	
58	0.0694927	0.6771263	0.0000000	0.4614371	0.1389371	0.1435774	0.0002773	0.1430524	-0.0023112	0.5156153	0.1675235	0.1505662	0.0006289	0.1500077	0.0014759	
59	0.0694927	0.3137903	0.0000000	0.4359993	0.1389371	0.1434301	0.0002773	0.1362773	0.0043166	0.4030856	0.1092594	0.1149562	0.0006289	0.1025083	0.0133653	
60	0.2779708	0.4789430	0.0000000	0.3822505	0.5551689	0.4965769	0.0044364	0.4919569	-0.0023754	0.4421524	0.5690468	0.5326661	0.0100620	0.4974057	0.0267448	
61	0.3474635	0.6606111	0.0000000	0.4586191	0.6937197	0.7132081	0.0069319	0.7048307	-0.0011134	0.5117738	0.8449371	0.8690646	0.0157218	0.7579958	0.0968932	
62	0.0694927	0.2972750	0.0000000	0.4261709	0.1389371	0.1358917	0.0002773	0.1353531	-0.0022976	0.4024406	0.1086792	0.1113795	0.0006289	0.1026317	0.0096652	
63	0.2779708	0.5780347	0.0000000	0.4212187	0.5551689	0.5388183	0.0044364	0.5338686	-0.0020457	0.4665054	0.6041022	0.5402323	0.0100620	0.5169167	0.0147999	
